States,x,y
Abia,-72,-232
Adamawa,257,39
Akwa Ibom,-57,-280
Anambra,-118,-202
Bauchi,71,99
Bayelsa,-187,-299
Benue,-3,-114
Borno,313,202
Cross River,-32,-220
Delta,-198,-237
Ebonyi,-50,-185
Edo,-213,-179
Ekiti,-230,-93
Enugu,-86,-160
FCT,-103,-8
Gombe,168,107
Imo,-111,-238
Jigawa,59,235
Kaduna,-68,114
Kano,-8,189
Katsina,-71,256
Kebbi,-314,168
Kogi,-121,-101
Kwara,-256,-26
Lagos,-341,-171
Nasarawa,-46,-44
Niger,-202,52
Ogun,-363,-144
Ondo,-247,-138
Osun,-286,-98
Oyo,-353,-47
Plateau,63,0
Rivers,-112,-292
Sokoto,-226,296
Taraba,128,-67
Yobe,191,245
Zamfara,-175,205
